,Title,Source,Description,Keywords
1233,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521292_001_l.jpg,"Woodblock print. Kabuki. Actor, head and shoulders of Ichikawa Omezo as the yakko Ippei, with sword. Nishiki-e on paper.",servant/domestic worker;kabuki;arms/armour;actor/actress
1234,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521279_001_l.jpg,"Woodblock print. Kabuki. Actor, head and shoulders of Segawa Kikunojo III as O-Shizu, wife of Ogishi Kurando. Nishiki-e on paper.",kabuki;actor/actress
1235,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521269_001_l.jpg,"Woodblock print. Kabuki. Actor,head and shoulders of Segawa Tomisaburo II as Yadorigi,wife of Ishii Genzo. Nishiki-e on paper.",kabuki;actor/actress
1236,mitate-e / hashira-e,https://research.britishmuseum.org/collectionimages/AN00635/AN00635080_001_l.jpg,"Colour woodblock pillar print, mitate-e. Travesty of Chinese warrior Kan'u: Prostitute holding Kan'u's halberd and watching young client reading letter at Shinagawa brothel; boats in Edo Bay in distance. Signed.",travesty;courtesan/prostitute;history;brothel/brothel-keeper;yatsushi
1237,Ki-ki myo-myo ÅE∫ÄÅEÅEÅEÅE¶ÅEÅEÄÅE (Strange and Marvellous Turtles of Happiness),https://research.britishmuseum.org/collectionimages/AN00694/AN00694606_001_l.jpg,"Woodblock print, triptych. Human-faced tortoises clustered around a sake saucer. With three signatures. Nishiki-e on paper.",theatre/theatrical life;reptile;humour
1238,Taira no Kiyomori kai-i o miru zu ÅEπ≥ÅE∏ÅEÅEÅEÅEÅEÄ™ÅEÅE∞ÅEÅEÅEÅE¶ÅEÅEÅEÅEÅEÅE≥,https://research.britishmuseum.org/collectionimages/AN00694/AN00694485_001_l.jpg,"Woodblock print, triptych. Supernatural. History, myth, legend. Taira Kiyomori's vision of the spectres, he stands on veranda with Gyo, wtih account. 1 of 2. Nishiki-e on paper.",myth/legend;history;ghost
1239,triptych print,https://research.britishmuseum.org/collectionimages/AN00692/AN00692798_001_l.jpg,"Woodblock print, triptych. The kabuki actors Nakamura Shozan, Segawa Rokyo and Onoe Gacho in a dance under flowering cherry branches, wearing white plum-blossom patterned costumes. Nishiki-e on paper.",tree/bush;kabuki;dance;actor/actress
1240,print / hashira-e,https://research.britishmuseum.org/collectionimages/AN00612/AN00612159_001_l.jpg,"Colour woodblock pillar print, hashira-e. Travesty of Ono no Michikaze: young woman watching frogs climbing willow on rainy day. Signed.",literature
1241,triptych print / benigirai-e,https://research.britishmuseum.org/collectionimages/AN00694/AN00694278_001_l.jpg,"Colour woodblock-printed triptych, benigirai-e. Scene in the Nakadaya restaurant in Mukojima, with group of women on balcony; performer playing shamisen in centre; view of dyke in background and torii of Mimeguri Jinja. Signed.",restaurant;bijin
1242,surimono / print,https://research.britishmuseum.org/collectionimages/AN00281/AN00281353_001_l.jpg,"Colour woodblock print. Gourd plant, brush, and case, with portraits of Ichikawa Danjuro VIII as King of Tengu, and Ichikawa Danjuro IX as Ushiwaka. Inscription. Nishiki-e on paper.",kabuki
1243,print,https://research.britishmuseum.org/collectionimages/AN00533/AN00533978_001_l.jpg,"Woodblock print. Kabuki. Actor Matsumoto Yonesaburo standing,with Nakamura Denkuro as Soga no Dansaburo, holding cloth-beaters, scene from sewamono. Nishiki-e on paper.",kabuki;actor/actress
1244,triptych print,https://research.britishmuseum.org/collectionimages/AN00691/AN00691974_001_l.jpg,"Woodblock print, triptych. Nine girls playing kyokusui (composing poems) by a stream at cherry-blossom time, Mount Fuji in the background. Nishiki-e on paper.",poetry;child;cherry blossom
1245,print / hashira-e,https://research.britishmuseum.org/collectionimages/AN00641/AN00641757_001_l.jpg,"Colour woodblock pillar print. Bijinga. Courtesans Karauta of Chojiya and Hanaogi of Ogiya, reading books. Inscribed and signed.",courtesan/prostitute;bijin
1246,Fujin tewaza juni-ko ÅE©¶ÅE∫∫ÅEÅEÅEÅE•≠ÅEÅEæÅE∫ÅEÅE∑• (Twelve Types of Women's Handicraft),https://research.britishmuseum.org/collectionimages/AN00528/AN00528062_001_l.jpg,"Colour woodblock print. Female toothbrush-seller with male customer; with sale items and shop panels behind seller. Nishiki-e on paper. Inscribed, signed and marked.",fuzoku;bijin
1247,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521718_001_l.jpg,"Colour woodblock print. Bust portrait of the actor Nakamura Utaemon III in an uchiwa (fan), in the role of Yakambei , from the series ""Uchiwa tosei kurabe (Comparison of Contemporary Fashions in Fans)"".  Inscribed, signed with artist's seal, publisher's marks.",kabuki;actor/actress
1248,print,https://research.britishmuseum.org/collectionimages/AN00582/AN00582301_001_l.jpg,"Colour woodblock print. Bust portrait of the actor Nakamura Utaemon III in battledore shape, in the role of Tozo the farmer (in reality Sasaki Takatsuna). Inscribed, signed with publisher's marks.",kabuki;actor/actress
1249,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521720_001_l.jpg,"Colour woodblock print. Half-length portrait of Arashi Kichisaburo II as Tsukushi no Gonroku. Scene from a kabuki play ""Keisei hako denju"", performed in the Kado Theatre in the first month of 1804. Inscribed, signed, publisher's mark.",kabuki;actor/actress
1250,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521719_001_l.jpg,"Colour woodblock print. Portrait of Kano Hinasuke as Hinoki-kaki no Odai with a bucket at the well, tree behind. Performed in the Kado Theatre in the first month of 1793. Inscribed.",kabuki;actor/actress
1251,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521741_001_l.jpg,"Colour woodblock print. Portrait of Kano Hinasuke as Akitsuka Tatewaki, pierced by arrows. A scene from the kabuki play ""Keisei Mutsu no Tamagawa"", performed in the Kado Theatre in the second month of 1793. Inscribed with publisher's mark.",kabuki;actor/actress
1252,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521735_001_l.jpg,"Colour woodblock print. Bust portrait in a fan-shaped border of Nakamura Tsurusuke as Urashima Taro. Inscribed, signed with a seal, publisher's mark.",kabuki;actor/actress
1253,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521730_001_l.jpg,"Colour woodblock print.  Bust portrait of the kabuki actor Arashi Kichisaburo II reflected in a mirror, surrounded by wigs and hats from his famous roles.  Inscribed, signed and with artist's seal, publisher's mark.",kabuki;actor/actress
1254,Minamoto no Shitago / Mitate sanjurokkasen no uchi,https://research.britishmuseum.org/collectionimages/AN00429/AN00429909_001_l.jpg,"Colour woodblock print. Half-length portrait of Arashi Koroku ?IV (died 1826/11) as Ko no Moronao. Poem by Minamoto no Shitago inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1255,Yamabe no Akahito / Mitate sanjurokkasen no uchi,https://research.britishmuseum.org/collectionimages/AN00429/AN00429918_001_l.jpg,"Colour woodblock print. Half-length portrait of Ichimura Takenojo V (died 1851/8) as Bunji no Yasukata. Poem by Yamabe no Akahito inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1256,Fujiwara no Kiyomasa / Mitate sanjurokkasen no uchi,https://research.britishmuseum.org/collectionimages/AN00429/AN00429921_001_l.jpg,"Colour woodblock print. Half-length portrait of Bando Takesaburo I as Chunagon Yukihira. Poem by Fujiwara no Kiyomasa inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1257,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431243_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Shikan IV as Shirabyoshi Sakurako reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1258,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431234_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Shikan IV as Danshichi Kurobei reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1259,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431249_001_l.jpg,"Colour woodblock print. Bust portrait of Iwai Kumesaburo III as Aisho Oryu no Kata reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1260,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431252_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Shikan IV as Takenuki Goro reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1261,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431337_001_l.jpg,"Colour woodblock print. Bust portrait of Kawarazaki Gonjuro as Taga no Tairyo reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1262,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431322_001_l.jpg,"Colour woodblock print. Bust portrait of Onoe Baiko as Tsuchiya Jiemon reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1263,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431319_001_l.jpg,"Colour woodblock print. Bust portrait of Seki Sanjuro III as Chojiya Chobei reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1264,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431314_001_l.jpg,"Colour woodblock print. Bust portrait of Bando Hikosaburo V as Yaegiri reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1265,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431311_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Tsuruzo I as Kajiwara Heizo Kagetoki reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1266,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431307_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Kajaku I as Sawai Matagoro reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1267,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431305_001_l.jpg,"Colour woodblock print. Bust portrait of Kawarazaki Gonjuro I as Momonoi Wakasanosuke reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1268,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431296_001_l.jpg,"Colour woodblock print. Bust portrait of Ichikawa Dannosuke V as Masaemon Nyobo Otani reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1269,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431292_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Shikan IV as Sugizakaya Musume Omiwa reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1270,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431287_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Shikan IV as Tomoyakko Fukuhei reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1271,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431281_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Shikan IV as Kiyari no Gonza reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1272,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431267_001_l.jpg,"Colour woodblock print. Bust portrait of Kataoka Nizaemon VIII as Ume no Yoshibei reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1273,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431263_001_l.jpg,"Colour woodblock print. Bust portrait of Onoe Kikugoro IV as Tsuchiya Umekawa reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1274,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431259_001_l.jpg,"Colour woodblock print. Bust portrait of Bando Kamezo I as Kojigoku Taro reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1275,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431255_001_l.jpg,"Colour woodblock print. Bust portrait of Onoe Kikujiro II as Onna Ryoshi Okiku reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1276,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431423_001_l.jpg,"Colour woodblock print. Bust portrait of Ichikawa Kodanji IV as Osho Kichisa reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1277,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431414_001_l.jpg,"Colour woodblock print. Bust portrait of Sawamura Tanosuke III as Yosooi-hime reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1278,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431408_001_l.jpg,"Colour woodblock print. Bust portrait of ?Nakamura Fukusuke as Chaya-meguri Sankichi reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1279,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431398_001_l.jpg,"Colour woodblock print. Bust portrait of Ichimura Uzaemon XIII as Tekomae no Takeyoshi [/Takekichi?] reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1280,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431393_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura Shikan IV as Heitaro Yoshikado reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1281,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431384_001_l.jpg,"Colour woodblock print. Bust portrait of ?Ichikawa Saruzo as Tezuka Taro reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1282,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431381_001_l.jpg,"Colour woodblock print. Bust portrait of ?Ichikawa Hikogoro as Adachi Shohaku reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1283,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431373_001_l.jpg,"Colour woodblock print. Bust portrait of ?Iwai Hanshiro as Geisha Chokichi reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1284,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431361_001_l.jpg,"Colour woodblock print. Bust portrait of Onoe Kikugoro IV as Ochi-no-hito Shigenoi reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1285,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431357_001_l.jpg,"Colour woodblock print. Bust portrait of Sawamura Tanosuke III as Miuraya Komurasaki reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1286,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431354_001_l.jpg,"Colour woodblock print. Bust portrait of Nakamura **? as Kimiya Anroku reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1287,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431346_001_l.jpg,"Colour woodblock print. Bust portrait of Iwai Kumesaburo III as Oju Kichisa reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1288,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431463_001_l.jpg,"Colour woodblock print. Bust portrait of Ichikawa Ichizo III as Dekiboshi no Sankichi reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1289,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431445_001_l.jpg,"Colour woodblock print. Bust portrait of Asao Yoroku II as Shimakawa Tahei reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1290,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431432_001_l.jpg,"Colour woodblock print. Bust portrait of Seki Hanasuke as Tanizawa Kazumanosuke reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1291,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431428_001_l.jpg,"Colour woodblock print. Bust portrait of Ichikawa Dando VI as Aragoro Mohei reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1292,Imayo oshi-e kagami,https://research.britishmuseum.org/collectionimages/AN00431/AN00431425_001_l.jpg,"Colour woodblock print. Bust portrait of Bando Shuka as Nakai Omiya reflecting in a mirror. Poem by the actor inscribed above. Signed, with publisher's and carver's marks.",poetry;kabuki;actor/actress
1293,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521737_001_l.jpg,Colour woodblock print (metallic pigment). Bust portrait of the actor Nakamura Utaemon III as Kato Masakiyo.,kabuki;actor/actress
1294,diptych print,https://research.britishmuseum.org/collectionimages/AN00607/AN00607858_001_l.jpg,"Colour woodblock print diptych. The actors Bando Mitsugoro III (with servant, right sheet), Asao Okuzan II and Nakamura Karoku I (left sheet) arriving in Osaka from Edo. Poems by Akatsuki no Kanenari (at the request of Yoshikuni).",kabuki;actor/actress
1295,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521732_001_l.jpg,Colour woodblock print. Bust portrait of the actor Arashi Kitsusaburo as Sasaki Takatsuna.,kabuki;actor/actress
1296,print,https://research.britishmuseum.org/collectionimages/AN00521/AN00521744_001_l.jpg,Print. Colour woodblock print. The actor Yoshizawa Iroha I as Ariwara no Narihira.  Signed.,kabuki
1297,print,https://research.britishmuseum.org/collectionimages/AN00607/AN00607860_001_l.jpg,Colour woodblock print.  Diptych.  Arashi Kichisaburo II as Ono no Tofu (right) and Asao Kuzaemon I as Tokko no Daroku (left).,kabuki;actor/actress
1298,Before the Mirror,https://research.britishmuseum.org/collectionimages/AN00342/AN00342533_001_l.jpg,Woodblock print. Head of girl.,bijin
1299,triptych print,https://research.britishmuseum.org/collectionimages/AN00694/AN00694617_001_l.jpg,"Woodblock print, triptych. The Seven Gods of Good Fortune in the takarabune (treasure-ship) amid other symbols of good fortune. Poem and inscription. Nishiki-e on paper.",seven gods of good fortune;boat/ship
1300,triptych print,https://research.britishmuseum.org/collectionimages/AN00590/AN00590933_001_l.jpg,"Woodblock triptych print, oban tate-e. Tokiwa-gozen and her children (centre) being brought before Taira no Kiyomori (left), whilst a group of women watch.",
1301,Surugadai ÅEÅEÅEÅEÅEÅEÅEÅEÅEÅEÅE†ÅEÅEÅE / Toto meisho ÅEÅE±ÅEÅEΩÅEÅEÅEÅEÅEÄ (Famous Places in Edo),https://research.britishmuseum.org/collectionimages/AN00508/AN00508708_001_l.jpg,"Woodblock print, oban yoko-e. Three figures on a mountain road looking at a rainbow.",rainbow;landscape
1302,No. 1 Nihonbashi ÅEÅE•ÅEÅE¨ÅE©ÅE / Kisokaido rokujoku tsugi no uchi ÅEÅE®ÅEÅEæÅE°ÅEÅEÅEÅEÅEÅE≠ÅEÅEÅEÅEπÅEÅE¨°ÅEπÅEÅEÅEÅE (Sixty-Nine Post Stations of the Kisokaido),https://research.britishmuseum.org/collectionimages/AN00587/AN00587568_001_l.jpg,"Woodblock print, oban tate-e. Nihonbashi Station. Ashikaga Yorikane (left) watches his bodyguard, the wrestler Narukami Katsunosuke (right) protect him from his attacker, Ukiyo Tohei on the Nihonbashi bridge (Inset: a daimyo procession leaving the city at dawn).",wrestling/wrestler;warrior;samurai;bridge
1303,ToÅEÄÄÅEÅEÅEÅEÅE® / Nanatsu iroha toto Fuji zukushi ÅE∏ÅEÅEÅEÅEÅEÅEÅEÅEÅEÅEÅEÅEØÅEÅE±ÅEÅEΩÅEØÅEÅE£´ÅEÅE° (Complete Alphabetic Primer of Fuji in the Eastern Capital),https://research.britishmuseum.org/collectionimages/AN00587/AN00587513_001_l.jpg,"Woodblock print, oban tate-e. The actor Nakamura Kanemon IV in the role of Gotobei (Inset: view of Mount Fuji from a street in Edo, where a festival procession is taking place).",landscape;kabuki;festival;actor/actress
1304,Azumaya ÅEÅE±ÅE±ÅE (No. 50 Eastern Cottage) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589127_001_l.jpg,"Woodblock print, oban tate-e. The low ranking retainer (ashigaru) Kichiemon arranging sandals. Poem inscribed above.",warrior;poetry
1305,Maboroshi ÅEπª (No. 41 The Wizard) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589112_001_l.jpg,"Woodblock print, oban tate-e. The evil magician Nikki Danjo Naonori in court robes standing in front of a cloud of smoke. Poem inscribed above.",warrior;poetry;magic
1306,Nowaki ÅEÅEÅEÅEÅEÅE (No. 28 Typhoon) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589081_001_l.jpg,"Woodblock print, oban tate-e. The poet Ariwara no Narihara eloping with Takako-hime at night on Musashi Moor. Poem inscribed above.",poetry;poet;bijin
1307,Otome ÅEπÅEÅE•≥ (No. 21 The Maiden) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589067_001_l.jpg,"Woodblock print, oban tate-e. Yaoya Oshichi reclining under the eaves of a temple in the pose of a tennin  (Buddhist angel). Poem inscribed above.",temple;poetry;bijin
1308,Yomogiu ÅEÅE¨ÅEÅEÅE (No. 15 Wormwood Patch) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589002_001_l.jpg,"Woodblock print, oban tate-e. Hisamatsu standing and holding a napkin with the elderly Yamazaki no Kyusaku seated before him. Poem inscribed above.",warrior;poetry
1309,Miotsukushi ÅEæ™ÅE®ÅE (No. 14 Channel Buoys) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589001_001_l.jpg,"Woodblock print, oban tate-e. Shinobe Yodohei with a large box on his back by a garden gate in the snow. Poem inscribed above.",warrior;poetry
1310,Akashi ÅEÅEÅEÅEÅE≥ (No. 13 Akashi) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00589/AN00589000_001_l.jpg,"Woodblock print, oban tate-e. The maid Ohatsu putting on her sandals. Poem inscribed above.",poetry;bijin
1311,Suma ÅE†ÅEÅE£® (No. 12 Suma) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00588/AN00588999_001_l.jpg,"Woodblock print, oban tate-e. Tamaori-hime at the seashore carrying a naginata. Poem inscribed above.",poetry;bijin
1312,Sakaki ÅE¶ÅE (No. 10 Sacred Tree) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00588/AN00588997_001_l.jpg,"Woodblock print, oban tate-e. Omiwa being assisted in her toilette by two court ladies. Poem inscribed above.",poetry;bijin
1313,Aoi ÅEÅEµ (No. 9 Heart vine) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00588/AN00588996_001_l.jpg,"Woodblock print, oban tate-e. Kaneo-maru fishing from a boat with a net. Poem inscribed above.",fisherman/fishing;poetry
1314,Wakamurasaki ÅEÅE•ÅE¥´ (No. 5 Lavender) / Genji kumo ukiyoe awase ÅE∫ÅEÅE∞ÅEÅEÅE≤ÅEµÆÅE∏ÅEÅEµµÅEÅEÅE (Ukiyo-e Parallels for the Cloudy Chapters of the Tale of Genji),https://research.britishmuseum.org/collectionimages/AN00588/AN00588990_001_l.jpg,"Woodblock print, oban tate-e. Komurasaki, barefoot, tying her obi whilst papers fly around her. Poem inscribed above.",poetry;bijin
1315,"Choo; Shiokumi goban-tsuzuki, sono yon ÅEºµÅE©´; ÅE±ÅEÅE±≤ÅE∫ÅEÅEÅE™ÅEÅE∂ÅEÅEÅE (Zhang Heng; Five-sheet print of Collecting Brine, no. 4) / Fuzoku onna Suikoden, ippyaku-hachinin no uchi ÅE¢®ÅEøÅEÅE•≥ÅE∞¥ÅEª∏ÅEÅE≥ÅE£πÅEÅEæÅEÅE´ÅE∫∫ÅEÅEÅEÅEÅEÅE (Elegant Women's Water Margin: From One Hundred and Eight Figures)",https://research.britishmuseum.org/collectionimages/AN00592/AN00592535_001_l.jpg,"Woodblock print, shikishi-ban surimono. A woman identified as Zhang Heng at the seashore with yoked buckets to collect salt. Nishiki-e with embossing and metallic pigments on paper.",seascape;bijin
1316,print,https://research.britishmuseum.org/collectionimages/AN00592/AN00592343_001_l.jpg,"Woodblock print, oban tate-e. Head and shoulders  of a geisha holding a sake cup, poem inscribed above.",poet;bijin
